"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1122335114007072768","","","2019-04-28 03:01:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quando atacada, Atena protege-se com seu escudo, que possui a cabeça da Medusa, capaz de transformar quem a olha em pedra. Atena é a Deusa da Justiça. Atena puniu a Medusa. Antes de atacar a Justiça, lembre-se da Medusa!","","","",""
"1122321801470672896","","","2019-04-28 02:09:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Westworld foi uma boa série.","","","",""
"1122321489896906753","","","2019-04-28 02:07:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A fumaça de corpos bovinos queimando afasta as moscas e assim salva-se o rebanho.","","","",""
"1122321137969651712","","","2019-04-28 02:06:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A Mosca Azul ponha ovos de ouro. Dos  seu ouro nasce o Mal que apodrece todo o corpo. Parte do corpo precisa  ser amputada e as moscas serem exterminadas. Ninguém gosta de  inseticidas mas eles são necessários.","","","",""
"1122319832278544384","","","2019-04-28 02:01:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/WBCZBkvOWx","","","","https://www.youtube.com/watch?v=ZwN96SgPofI"
"1122319767476609024","","","2019-04-28 02:00:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Se a Igreja Católica Apostólica Romana não faz seu trabalho bem feito, os Romanos fazem!","","","",""
"1122318893517824000","","","2019-04-28 01:57:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Para evitar a idolatria, basta focar em Deus.","","","",""
"1121762920176738304","","","2019-04-26 13:08:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/puMUwrBTu8","","","","https://www.youtube.com/watch?v=dpDq20jSINc"
"1121760312464744455","","","2019-04-26 12:57:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/chBp1lDJUw","","","","https://www.youtube.com/watch?v=z0NfI2NeDHI"
"1121760165919907840","","","2019-04-26 12:57:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/OV63oAPEnF","","","","https://www.youtube.com/watch?v=AhyifvjSHbU"
"1121743259603226624","","","2019-04-26 11:50:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EsotericExposal: Instead of our children being taught that humans are made in God's image, they're taught that they come from ""stardust…","1121655274576605184","2809289206","2019-04-26 06:00:31 +0000",""
"1121631813191868416","","","2019-04-26 04:27:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A falta de cruzes enfraquece a fé em Cristo.","","","",""
"1121617925167673344","","","2019-04-26 03:32:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[ [ [ SOL INVICTUS ] ] ]","","","",""
"1121617453958586368","","","2019-04-26 03:30:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[ [ [ LOGUS IS RISING ] ] ]","","","",""
"1121616054461972480","","","2019-04-26 03:24:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Para entender esse texto você já deve ter lido outros.","","","",""
"1121614295047913473","","","2019-04-26 03:17:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Deus ama tanto a DIVERSIDADE que criou muitos povos e Ele é chamado por muitos nomes. Quem fala ser a favor a diversidade, mas a destrói, destrói a criação divina. Qual criança gosta de ver suas criações serem destruídas?","","","",""
"1121612440502800385","","","2019-04-26 03:10:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Então  Pilatos, vendo que nada aproveitava, antes o tumulto crescia, tomando  água, lavou as mãos diante da multidão, dizendo: Estou inocente do  sangue deste justo. Considerai isso.

Mateus 27:24","","","",""
